experiment_family,candidate_name,modification_target,strategy,canonical_parameters,candidate_parameters,parameters_saved,savings_percent_of_target,projected_model_parameters,projected_model_reduction,projected_model_reduction_percent,notes
PB1-A,PB1-A-factorized-512x512-rank-64,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 64,15728640,3932160,11796480,75.0,35641288,11796480,24.867274531128867,Accounting-only scenario. Each dense matrix is represented as 512x64 followed by 64x512. No functional equivalence or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-96,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 96,15728640,5898240,9830400,62.5,37607368,9830400,20.722728775940723,Accounting-only scenario. Each dense matrix is represented as 512x96 followed by 96x512. No functional equivalence or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-128,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 128,15728640,7864320,7864320,50.0,39573448,7864320,16.57818302075258,Accounting-only scenario. Each dense matrix is represented as 512x128 followed by 128x512. No functional equivalence or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-160,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 160,15728640,9830400,5898240,37.5,41539528,5898240,12.433637265564434,Accounting-only scenario. Each dense matrix is represented as 512x160 followed by 160x512. No functional equivalence or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-192,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 192,15728640,11796480,3932160,25.0,43505608,3932160,8.28909151037629,Accounting-only scenario. Each dense matrix is represented as 512x192 followed by 192x512. No functional equivalence or training result is implied.
PB1-A,PB1-A-memory-input-width-256,layers.m_proj_w,Reduce memory input projection output width from 1024 to 256,6291456,1572864,4718592,75.0,42719176,4718592,9.946909812451548,"Accounting-only scenario. Canonical shape [12, 512, 1024] becomes [12, 512, 256]. Implementation may require coordinated downstream architecture changes."
PB1-A,PB1-A-memory-input-width-384,layers.m_proj_w,Reduce memory input projection output width from 1024 to 384,6291456,2359296,3932160,62.5,43505608,3932160,8.28909151037629,"Accounting-only scenario. Canonical shape [12, 512, 1024] becomes [12, 512, 384]. Implementation may require coordinated downstream architecture changes."
PB1-A,PB1-A-memory-input-width-512,layers.m_proj_w,Reduce memory input projection output width from 1024 to 512,6291456,3145728,3145728,50.0,44292040,3145728,6.631273208301032,"Accounting-only scenario. Canonical shape [12, 512, 1024] becomes [12, 512, 512]. Implementation may require coordinated downstream architecture changes."
PB1-A,PB1-A-memory-input-width-640,layers.m_proj_w,Reduce memory input projection output width from 1024 to 640,6291456,3932160,2359296,37.5,45078472,2359296,4.973454906225774,"Accounting-only scenario. Canonical shape [12, 512, 1024] becomes [12, 512, 640]. Implementation may require coordinated downstream architecture changes."
PB1-A,PB1-A-memory-input-width-768,layers.m_proj_w,Reduce memory input projection output width from 1024 to 768,6291456,4718592,1572864,25.0,45864904,1572864,3.315636604150516,"Accounting-only scenario. Canonical shape [12, 512, 1024] becomes [12, 512, 768]. Implementation may require coordinated downstream architecture changes."
