rank,matrix_rank,vector_expansion,router_hidden_width,feedback_rank,matrix_memory_parameters,vector_mamba_parameters,router_parameters,feedback_parameters,frozen_parameters,total_parameters,matrix_error,vector_error,router_error,feedback_error,total_component_absolute_error,total_budget_error,exact_budget_match
1,168,384,20,7,20643840,23003136,756204,135252,2899456,47437888,2804560,2386883,291872,125925,5609240,120,False
2,200,320,24,7,24576000,18923520,903756,135252,2899456,47437984,1127600,1692733,439424,125925,3385682,216,False
3,216,288,24,9,26542080,16920576,903756,172140,2899456,47438008,3093680,3695677,439424,162813,7391594,240,False
4,216,288,28,1,26542080,16920576,1051308,24588,2899456,47438008,3093680,3695677,586976,15261,7391594,240,False
5,168,392,8,3,20643840,23520000,313548,61476,2899456,47438320,2804560,2903747,150784,52149,5911240,552,False
6,184,360,8,8,22609920,21461760,313548,153696,2899456,47438380,838480,845507,150784,144369,1979140,612,False
7,192,344,12,2,23592960,20441856,461100,43032,2899456,47438404,144560,174397,3232,33705,355894,636,False
8,192,344,8,10,23592960,20441856,313548,190584,2899456,47438404,144560,174397,150784,181257,650998,636,False
9,208,312,12,5,25559040,18420480,461100,98364,2899456,47438440,2110640,2195773,3232,89037,4398682,672,False
10,208,312,8,13,25559040,18420480,313548,245916,2899456,47438440,2110640,2195773,150784,236589,4693786,672,False
11,216,296,12,6,26542080,17419008,461100,116808,2899456,47438452,3093680,3197245,3232,107481,6401638,684,False
12,176,352,48,9,21626880,20951040,1789068,172140,2899456,47438584,1821520,334787,1324736,162813,3643856,816,False
13,176,352,52,1,21626880,20951040,1936620,24588,2899456,47438584,1821520,334787,1472288,15261,3643856,816,False
14,168,376,32,11,20643840,22487808,1198860,209028,2899456,47438992,2804560,1871555,734528,199701,5610344,1224,False
15,168,376,36,3,20643840,22487808,1346412,61476,2899456,47438992,2804560,1871555,882080,52149,5610344,1224,False
16,192,328,36,9,23592960,19428096,1346412,172140,2899456,47439064,144560,1188157,882080,162813,2377610,1296,False
17,192,328,40,1,23592960,19428096,1493964,24588,2899456,47439064,144560,1188157,1029632,15261,2377610,1296,False
18,216,280,36,12,26542080,16423680,1346412,227472,2899456,47439100,3093680,4192573,882080,218145,8386478,1332,False
19,216,280,40,4,26542080,16423680,1493964,79920,2899456,47439100,3093680,4192573,1029632,70593,8386478,1332,False
20,208,304,24,8,25559040,17918976,903756,153696,2899456,47434924,2110640,2697277,439424,144369,5391710,2844,False
21,160,400,16,12,19660800,24038400,608652,227472,2899456,47434780,3787600,3422147,144320,218145,7572212,2988,False
22,160,400,20,4,19660800,24038400,756204,79920,2899456,47434780,3787600,3422147,291872,70593,7572212,2988,False
23,168,368,48,7,20643840,21974016,1789068,135252,2899456,47441632,2804560,1357763,1324736,125925,5612984,3864,False
24,184,336,48,11,22609920,19934208,1789068,209028,2899456,47441680,838480,682045,1324736,199701,3044962,3912,False
25,184,336,52,3,22609920,19934208,1936620,61476,2899456,47441680,838480,682045,1472288,52149,3044962,3912,False
26,216,272,52,7,26542080,15928320,1936620,135252,2899456,47441728,3093680,4687933,1472288,125925,9379826,3960,False
27,160,376,60,8,19660800,22487808,2231724,153696,2899456,47433484,3787600,1871555,1767392,144369,7570916,4284,False
28,208,296,36,11,25559040,17419008,1346412,209028,2899456,47432944,2110640,3197245,882080,199701,6389666,4824,False
29,208,296,40,3,25559040,17419008,1493964,61476,2899456,47432944,2110640,3197245,1029632,52149,6389666,4824,False
30,200,312,36,10,24576000,18420480,1346412,190584,2899456,47432932,1127600,2195773,882080,181257,4386710,4836,False
31,200,312,40,2,24576000,18420480,1493964,43032,2899456,47432932,1127600,2195773,1029632,33705,4386710,4836,False
