candidate,m_wq_rank,m_wk_rank,matrix_saved_params,hidden_dim,mamba_state_dim,ax_res,estimated_vector_side_delta,estimated_candidate_total_params,estimated_budget_error,estimated_exact_budget,estimated_unused_recovered_params,actual_vector_side_delta,actual_vector_model_total,actual_candidate_total_params,actual_budget_error,actual_exact_budget,estimator_error_params,actual_unused_recovered_params,verified_rank
C1_q128_k128,128,128,3145728,2016,512,576,3125184,47417224,-20544,False,20544,3125184,50562952,47417224,-20544,False,0,20544,1
C1_q128_k128,128,128,3145728,2144,544,544,3112384,47404424,-33344,False,33344,3112384,50550152,47404424,-33344,False,0,33344,2
C1_q128_k128,128,128,3145728,2272,576,512,3099584,47391624,-46144,False,46144,3099584,50537352,47391624,-46144,False,0,46144,3
C1_q128_k128,128,128,3145728,1632,608,512,3099072,47391112,-46656,False,46656,3099072,50536840,47391112,-46656,False,0,46656,4
C1_q128_k128,128,128,3145728,1984,512,576,3075968,47368008,-69760,False,69760,3075968,50513736,47368008,-69760,False,0,69760,5
C1_q128_k128,128,128,3145728,2112,544,544,3063168,47355208,-82560,False,82560,3063168,50500936,47355208,-82560,False,0,82560,6
C1_q128_k128,128,128,3145728,2240,576,512,3050368,47342408,-95360,False,95360,3050368,50488136,47342408,-95360,False,0,95360,7
C1_q128_k128,128,128,3145728,1600,608,512,3049856,47341896,-95872,False,95872,3049856,50487624,47341896,-95872,False,0,95872,8
C1_q128_k128,128,128,3145728,1952,512,576,3026752,47318792,-118976,False,118976,3026752,50464520,47318792,-118976,False,0,118976,9
C1_q128_k128,128,128,3145728,2080,544,544,3013952,47305992,-131776,False,131776,3013952,50451720,47305992,-131776,False,0,131776,10
C1_q128_k128,128,128,3145728,2208,576,512,3001152,47293192,-144576,False,144576,3001152,50438920,47293192,-144576,False,0,144576,11
C1_q128_k128,128,128,3145728,1568,608,512,3000640,47292680,-145088,False,145088,3000640,50438408,47292680,-145088,False,0,145088,12
C1_q128_k128,128,128,3145728,1920,512,576,2977536,47269576,-168192,False,168192,2977536,50415304,47269576,-168192,False,0,168192,13
C1_q128_k128,128,128,3145728,2048,544,544,2964736,47256776,-180992,False,180992,2964736,50402504,47256776,-180992,False,0,180992,14
C1_q128_k128,128,128,3145728,2176,576,512,2951936,47243976,-193792,False,193792,2951936,50389704,47243976,-193792,False,0,193792,15
C1_q128_k128,128,128,3145728,1536,608,512,2951424,47243464,-194304,False,194304,2951424,50389192,47243464,-194304,False,0,194304,16
C1_q128_k128,128,128,3145728,1888,512,576,2928320,47220360,-217408,False,217408,2928320,50366088,47220360,-217408,False,0,217408,17
C1_q128_k128,128,128,3145728,2016,544,544,2915520,47207560,-230208,False,230208,2915520,50353288,47207560,-230208,False,0,230208,18
