candidate_id,candidate_name,component,display_name,parameter_count,baseline_parameter_count,parameter_difference,parameter_difference_percent_of_baseline,parameter_fraction_of_total,parameter_percent_of_total
BASELINE,Baseline Allocation,matrix_memory,Matrix Memory,25233468,25233468,0,0.0,0.5319278090824172,53.19278090824172
BASELINE,Baseline Allocation,vector_mamba,Vector / Mamba Pathway,18898944,18898944,0,0.0,0.3983944607174604,39.83944607174604
BASELINE,Baseline Allocation,router,Router,399744,399744,0,0.0,0.00842670338115402,0.842670338115402
BASELINE,Baseline Allocation,feedback_bridge,Feedback Bridge,6156,6156,0,0.0,0.0001297700178473827,0.01297700178473827
BASELINE,Baseline Allocation,embeddings,Embeddings,131072,131072,0,0.0,0.002763030503458763,0.2763030503458763
BASELINE,Baseline Allocation,output_head,Output Head,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
BASELINE,Baseline Allocation,normalization,Normalization,12288,12288,0,0.0,0.00025903410969925906,0.025903410969925905
BASELINE,Baseline Allocation,auxiliary,Auxiliary,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
BASELINE,Baseline Allocation,other,Other,393216,393216,0,0.0,0.00828909151037629,0.828909151037629
A,Matrix-to-Vector Rebalance,matrix_memory,Matrix Memory,23448400,25233468,-1785068,-7.074207952707888,0.494298129709644,49.4298129709644
A,Matrix-to-Vector Rebalance,vector_mamba,Vector / Mamba Pathway,20616253,18898944,1717309,9.086798712139684,0.4345957634431704,43.45957634431704
A,Matrix-to-Vector Rebalance,router,Router,464332,399744,64588,16.15734069804675,0.0097882345560609,0.9788234556060901
A,Matrix-to-Vector Rebalance,feedback_bridge,Feedback Bridge,9327,6156,3171,51.51072124756335,0.0001966154900036612,0.01966154900036612
A,Matrix-to-Vector Rebalance,embeddings,Embeddings,131072,131072,0,0.0,0.002763030503458763,0.2763030503458763
A,Matrix-to-Vector Rebalance,output_head,Output Head,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
A,Matrix-to-Vector Rebalance,normalization,Normalization,12288,12288,0,0.0,0.00025903410969925906,0.025903410969925905
A,Matrix-to-Vector Rebalance,auxiliary,Auxiliary,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
A,Matrix-to-Vector Rebalance,other,Other,393216,393216,0,0.0,0.00828909151037629,0.828909151037629
B,Matrix Capacity Reduction,matrix_memory,Matrix Memory,21214784,25233468,-4018684,-15.92600747546869,0.4472129464438546,44.72129464438546
B,Matrix Capacity Reduction,vector_mamba,Vector / Mamba Pathway,22864798,18898944,3965854,20.984526966162765,0.4819956537584146,48.19956537584146
B,Matrix Capacity Reduction,router,Router,450840,399744,51096,12.782180595581172,0.009503819825587073,0.9503819825587073
B,Matrix Capacity Reduction,feedback_bridge,Feedback Bridge,7890,6156,1734,28.167641325536064,0.0001663231710227176,0.01663231710227176
B,Matrix Capacity Reduction,embeddings,Embeddings,131072,131072,0,0.0,0.002763030503458763,0.2763030503458763
B,Matrix Capacity Reduction,output_head,Output Head,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
B,Matrix Capacity Reduction,normalization,Normalization,12288,12288,0,0.0,0.00025903410969925906,0.025903410969925905
B,Matrix Capacity Reduction,auxiliary,Auxiliary,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
B,Matrix Capacity Reduction,other,Other,393216,393216,0,0.0,0.00828909151037629,0.828909151037629
C,Feedback Expansion,matrix_memory,Matrix Memory,24319213,25233468,-914255,-3.6231840981984718,0.5126550852898475,51.265508528984746
C,Feedback Expansion,vector_mamba,Vector / Mamba Pathway,19748027,18898944,849083,4.492753669199718,0.41629334246923255,41.62933424692326
C,Feedback Expansion,router,Router,446091,399744,46347,11.594170268972142,0.00940370971922625,0.940370971922625
C,Feedback Expansion,feedback_bridge,Feedback Bridge,24981,6156,18825,305.79922027290445,0.000526605720572688,0.0526605720572688
C,Feedback Expansion,embeddings,Embeddings,131072,131072,0,0.0,0.002763030503458763,0.2763030503458763
C,Feedback Expansion,output_head,Output Head,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
C,Feedback Expansion,normalization,Normalization,12288,12288,0,0.0,0.00025903410969925906,0.025903410969925905
C,Feedback Expansion,auxiliary,Auxiliary,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
C,Feedback Expansion,other,Other,393216,393216,0,0.0,0.00828909151037629,0.828909151037629
D,Router Capacity Expansion,matrix_memory,Matrix Memory,24016538,25233468,-1216930,-4.8226823201630475,0.5062746206777688,50.62746206777688
D,Router Capacity Expansion,vector_mamba,Vector / Mamba Pathway,19312903,18898944,413959,2.190381642487538,0.4071208198497029,40.71208198497029
D,Router Capacity Expansion,router,Router,1201470,399744,801726,200.55985830931795,0.02532728774254303,2.532728774254303
D,Router Capacity Expansion,feedback_bridge,Feedback Bridge,7401,6156,1245,20.224171539961013,0.0001560149288642754,0.01560149288642754
D,Router Capacity Expansion,embeddings,Embeddings,131072,131072,0,0.0,0.002763030503458763,0.2763030503458763
D,Router Capacity Expansion,output_head,Output Head,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
D,Router Capacity Expansion,normalization,Normalization,12288,12288,0,0.0,0.00025903410969925906,0.025903410969925905
D,Router Capacity Expansion,auxiliary,Auxiliary,1181440,1181440,0,0.0,0.024905050338793342,2.490505033879334
D,Router Capacity Expansion,other,Other,393216,393216,0,0.0,0.00828909151037629,0.828909151037629
