sample_id,matrix_rank,vector_dim,router_hidden,feedback_rank_actual,parameter_count,parameter_delta_from_baseline,source
S001,512,512,32,32,47437768,0,canonical_baseline
S002,96,512,32,32,31922632,-15515136,matrix_rank_sweep
S003,128,512,32,32,33116104,-14321664,matrix_rank_sweep
S004,168,512,32,32,34607944,-12829824,matrix_rank_sweep
S005,192,512,32,32,35503048,-11934720,matrix_rank_sweep
S006,256,512,32,32,37889992,-9547776,matrix_rank_sweep
S007,384,512,32,32,42663880,-4773888,matrix_rank_sweep
S008,512,512,32,32,47437768,0,matrix_rank_sweep
S009,512,96,32,32,34648264,-12789504,vector_dimension_sweep
S010,512,128,32,32,35632072,-11805696,vector_dimension_sweep
S011,512,192,32,32,37599688,-9838080,vector_dimension_sweep
S012,512,256,32,32,39567304,-7870464,vector_dimension_sweep
S013,512,384,32,32,43502536,-3935232,vector_dimension_sweep
S014,512,512,32,32,47437768,0,vector_dimension_sweep
S015,512,512,8,32,47142568,-295200,router_width_sweep
S016,512,512,16,32,47240968,-196800,router_width_sweep
S017,512,512,20,32,47290168,-147600,router_width_sweep
S018,512,512,32,32,47437768,0,router_width_sweep
S019,512,512,48,32,47634568,196800,router_width_sweep
S020,512,512,64,32,47831368,393600,router_width_sweep
S021,16,512,32,16,28837576,-18600192,feedback_rank_interaction
S022,24,512,32,24,29185864,-18251904,feedback_rank_interaction
S023,32,512,32,32,29535688,-17902080,feedback_rank_interaction
S024,48,512,32,32,30132424,-17305344,feedback_rank_interaction
S025,512,16,32,16,31992136,-15445632,feedback_rank_interaction
S026,512,24,32,24,32336392,-15101376,feedback_rank_interaction
S027,512,32,32,32,32680648,-14757120,feedback_rank_interaction
S028,512,48,32,32,33172552,-14265216,feedback_rank_interaction
S029,16,16,32,16,13588552,-33849216,feedback_rank_interaction
S030,24,24,32,24,14182792,-33254976,feedback_rank_interaction
S031,32,32,32,32,14778568,-32659200,feedback_rank_interaction
S032,64,64,32,32,16955848,-30481920,feedback_rank_interaction
