path,component,shape,dtype,parameter_count
embed,embeddings,256x512,float32,131072
future_heads.b1,auxiliary,1x1536,float32,1536
future_heads.b2,auxiliary,1x256,float32,256
future_heads.w1,auxiliary,1x1536x512,float32,786432
future_heads.w2,auxiliary,1x256x1536,float32,393216
head.b1,output_head,1536,float32,1536
head.b2,output_head,256,float32,256
head.w1,output_head,1536x512,float32,786432
head.w2,output_head,256x1536,float32,393216
layers.m_b_archive_mix,archive_memory_control,12x512,float32,6144
layers.m_b_archive_ret,archive_memory_control,12x1,float32,12
layers.m_b_archive_write,archive_memory_control,12x1,float32,12
layers.m_b_eta,matrix_memory,12x1,float32,12
layers.m_b_out,matrix_memory,12x512,float32,6144
layers.m_b_read,matrix_memory,12x512,float32,6144
layers.m_b_ret,matrix_memory,12x1,float32,12
layers.m_b_write,matrix_memory,12x1,float32,12
layers.m_ln_b,matrix_memory,12x512,float32,6144
layers.m_ln_g,matrix_memory,12x512,float32,6144
layers.m_proj_b,matrix_memory,12x512,float32,6144
layers.m_proj_w,matrix_memory,12x512x1024,float32,6291456
layers.m_w_archive_mix,archive_memory_control,12x512x512,float32,3145728
layers.m_w_archive_ret,archive_memory_control,12x1x512,float32,6144
layers.m_w_archive_write,archive_memory_control,12x1x512,float32,6144
layers.m_w_eta,matrix_memory,12x1x512,float32,6144
layers.m_w_out,matrix_memory,12x512x512,float32,3145728
layers.m_w_read,matrix_memory,12x512x512,float32,3145728
layers.m_w_ret,matrix_memory,12x1x512,float32,6144
layers.m_w_write,matrix_memory,12x1x512,float32,6144
layers.m_wk,matrix_memory,12x512x512,float32,3145728
layers.m_wq,matrix_memory,12x512x512,float32,3145728
layers.m_wv,matrix_memory,12x512x512,float32,3145728
layers.pre_b,normalization,12x512,float32,6144
layers.pre_g,normalization,12x512,float32,6144
layers.r_b,router,12x32,float32,384
layers.r_proj,router,12x512x32,float32,196608
layers.r_proj_b,router,12x512,float32,6144
layers.r_w,router,12x32x512,float32,196608
layers.s_b_delta,vector_mamba_pathway,12x512,float32,6144
layers.s_b_gate,vector_mamba_pathway,12x512,float32,6144
layers.s_b_memory_feedback,feedback_bridge,12x1,float32,12
layers.s_b_ret,vector_mamba_pathway,12x512,float32,6144
layers.s_memory_down,feedback_bridge,12x32x512,float32,196608
layers.s_memory_up,feedback_bridge,12x512x32,float32,196608
layers.s_proj_b,vector_mamba_pathway,12x512,float32,6144
layers.s_proj_w,vector_mamba_pathway,12x512x512,float32,3145728
layers.s_w_c,vector_mamba_pathway,12x512x512,float32,3145728
layers.s_w_delta,vector_mamba_pathway,12x512x512,float32,3145728
layers.s_w_gate,vector_mamba_pathway,12x512x512,float32,3145728
layers.s_w_memory_feedback,feedback_bridge,12x1x512,float32,6144
layers.s_w_ret,vector_mamba_pathway,12x512x512,float32,3145728
layers.s_wu,vector_mamba_pathway,12x512x512,float32,3145728
