rank_r,vector_dimension_n,router_hidden_h,feedback_rank_f,parameter_count,parameter_error,absolute_parameter_error,exact_match,matrix_parameter_change,vector_parameter_change,router_parameter_change,feedback_parameter_change,rank_ratio,vector_ratio,router_ratio,allocation_distance,score
512,520,12,32,47437720,-48,48,False,0,245952,-246000,0,1.0,1.015625,0.375,0.328125,328173.0
512,504,52,32,47437816,48,48,False,0,-245952,246000,0,1.0,0.984375,1.625,0.328125,328173.0
512,496,72,32,47437864,96,96,False,0,-491904,492000,0,1.0,0.96875,2.25,0.65625,656346.0
512,488,92,32,47437912,144,144,False,0,-737856,738000,0,1.0,0.953125,2.875,0.984375,984519.0
360,704,13,32,47437924,156,156,False,-5610624,5902848,-233700,-58368,0.703125,1.375,0.40625,0.96875,968906.0
512,480,112,32,47437960,192,192,False,0,-983808,984000,0,1.0,0.9375,3.5,1.3125,1312692.0
360,696,33,32,47437972,204,204,False,-5610624,5656896,12300,-58368,0.703125,1.359375,1.03125,0.671875,672079.0
328,704,110,32,47437552,-216,216,False,-6791808,5902848,959400,-70656,0.640625,1.375,3.4375,1.953125,1953341.0
360,688,53,32,47438020,252,252,False,-5610624,5410944,258300,-58368,0.703125,1.34375,1.65625,0.96875,969002.0
328,712,90,32,47437504,-264,264,False,-6791808,6148800,713400,-70656,0.640625,1.390625,2.8125,1.65625,1656514.0
360,680,73,32,47438068,300,300,False,-5610624,5164992,504300,-58368,0.703125,1.328125,2.28125,1.265625,1265925.0
328,720,70,32,47437456,-312,312,False,-6791808,6394752,467400,-70656,0.640625,1.40625,2.1875,1.359375,1359687.0
360,672,93,32,47438116,348,348,False,-5610624,4919040,750300,-58368,0.703125,1.3125,2.90625,1.5625,1562848.0
328,728,50,32,47437408,-360,360,False,-6791808,6640704,221400,-70656,0.640625,1.421875,1.5625,1.0625,1062860.0
360,664,113,32,47438164,396,396,False,-5610624,4673088,996300,-58368,0.703125,1.296875,3.53125,1.859375,1859771.0
328,736,30,32,47437360,-408,408,False,-6791808,6886656,-24600,-70656,0.640625,1.4375,0.9375,0.828125,828533.0
480,520,109,32,47437348,-420,420,False,-1181184,245952,947100,-12288,0.9375,1.015625,3.40625,1.28125,1281670.0
328,744,10,32,47437312,-456,456,False,-6791808,7132608,-270600,-70656,0.640625,1.453125,0.3125,1.15625,1156706.0
480,528,89,32,47437300,-468,468,False,-1181184,491904,701100,-12288,0.9375,1.03125,2.78125,0.984375,984843.0
480,536,69,32,47437252,-516,516,False,-1181184,737856,455100,-12288,0.9375,1.046875,2.15625,0.6875,688016.0
480,544,49,32,47437204,-564,564,False,-1181184,983808,209100,-12288,0.9375,1.0625,1.53125,0.390625,391189.0
480,552,29,32,47437156,-612,612,False,-1181184,1229760,-36900,-12288,0.9375,1.078125,0.90625,0.1875,188112.0
480,560,9,32,47437108,-660,660,False,-1181184,1475712,-282900,-12288,0.9375,1.09375,0.28125,0.515625,516285.0
392,664,16,32,47438536,768,768,False,-4429440,4673088,-196800,-46080,0.765625,1.296875,0.5,0.78125,782018.0
296,736,127,32,47436988,-780,780,False,-7972992,6886656,1168500,-82944,0.578125,1.4375,3.96875,2.34375,2344530.0
