seed,component,display_name,parameter_count,parameter_fraction,parameter_percent,parameter_tensors,layer_parameter_count,global_parameter_count,byte_count
seed1,matrix_memory,Matrix Memory,25233468,0.5319278090824172,53.19278090824172,23,0,25233468,100933872
seed1,vector_mamba,Vector / Mamba Pathway,18898944,0.3983944607174604,39.83944607174604,10,0,18898944,75595776
seed1,router,Router,399744,0.00842670338115402,0.842670338115402,4,0,399744,1598976
seed1,feedback_bridge,Feedback Bridge,6156,0.0001297700178473827,0.01297700178473827,2,0,6156,24624
seed1,embeddings,Embeddings,131072,0.002763030503458763,0.2763030503458763,1,0,131072,524288
seed1,output_head,Output Head,1181440,0.024905050338793342,2.490505033879334,4,0,1181440,4725760
seed1,normalization,Normalization,12288,0.00025903410969925906,0.025903410969925905,2,0,12288,49152
seed1,auxiliary,Auxiliary,1181440,0.024905050338793342,2.490505033879334,4,0,1181440,4725760
seed1,other,Other,393216,0.00828909151037629,0.828909151037629,2,0,393216,1572864
seed2,matrix_memory,Matrix Memory,25233468,0.5319278090824172,53.19278090824172,23,0,25233468,100933872
seed2,vector_mamba,Vector / Mamba Pathway,18898944,0.3983944607174604,39.83944607174604,10,0,18898944,75595776
seed2,router,Router,399744,0.00842670338115402,0.842670338115402,4,0,399744,1598976
seed2,feedback_bridge,Feedback Bridge,6156,0.0001297700178473827,0.01297700178473827,2,0,6156,24624
seed2,embeddings,Embeddings,131072,0.002763030503458763,0.2763030503458763,1,0,131072,524288
seed2,output_head,Output Head,1181440,0.024905050338793342,2.490505033879334,4,0,1181440,4725760
seed2,normalization,Normalization,12288,0.00025903410969925906,0.025903410969925905,2,0,12288,49152
seed2,auxiliary,Auxiliary,1181440,0.024905050338793342,2.490505033879334,4,0,1181440,4725760
seed2,other,Other,393216,0.00828909151037629,0.828909151037629,2,0,393216,1572864
