seed,component,parameter_path,top_level_group,layer,shape,dtype,parameters,bytes,percent_of_seed_total
seed1,embeddings,embed,embed,,256x512,float32,131072,524288,0.2763030503458763
seed1,auxiliary,future_heads.b1,future_heads,,1x1536,float32,1536,6144,0.003237926371240738
seed1,auxiliary,future_heads.b2,future_heads,,1x256,float32,256,1024,0.0005396543952067897
seed1,auxiliary,future_heads.w1,future_heads,,1x1536x512,float32,786432,3145728,1.657818302075258
seed1,auxiliary,future_heads.w2,future_heads,,1x256x1536,float32,393216,1572864,0.828909151037629
seed1,output_head,head.b1,head,,1536,float32,1536,6144,0.003237926371240738
seed1,output_head,head.b2,head,,256,float32,256,1024,0.0005396543952067897
seed1,output_head,head.w1,head,,1536x512,float32,786432,3145728,1.657818302075258
seed1,output_head,head.w2,head,,256x1536,float32,393216,1572864,0.828909151037629
seed1,matrix_memory,layers.m_b_archive_mix,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_b_archive_ret,layers,,12x1,float32,12,48,2.5296299775318267e-05
seed1,matrix_memory,layers.m_b_archive_write,layers,,12x1,float32,12,48,2.5296299775318267e-05
seed1,matrix_memory,layers.m_b_eta,layers,,12x1,float32,12,48,2.5296299775318267e-05
seed1,matrix_memory,layers.m_b_out,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_b_read,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_b_ret,layers,,12x1,float32,12,48,2.5296299775318267e-05
seed1,matrix_memory,layers.m_b_write,layers,,12x1,float32,12,48,2.5296299775318267e-05
seed1,matrix_memory,layers.m_ln_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_ln_g,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_proj_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_proj_w,layers,,12x512x1024,float32,6291456,25165824,13.262546416602063
seed1,matrix_memory,layers.m_w_archive_mix,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed1,matrix_memory,layers.m_w_archive_ret,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_w_archive_write,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_w_eta,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_w_out,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed1,matrix_memory,layers.m_w_read,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed1,matrix_memory,layers.m_w_ret,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_w_write,layers,,12x1x512,float32,6144,24576,0.012951705484962953
seed1,matrix_memory,layers.m_wk,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed1,matrix_memory,layers.m_wq,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed1,matrix_memory,layers.m_wv,layers,,12x512x512,float32,3145728,12582912,6.631273208301032
seed1,normalization,layers.pre_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,normalization,layers.pre_g,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,router,layers.r_b,layers,,12x32,float32,384,1536,0.0008094815928101845
seed1,router,layers.r_proj,layers,,12x512x32,float32,196608,786432,0.4144545755188145
seed1,router,layers.r_proj_b,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,router,layers.r_w,layers,,12x32x512,float32,196608,786432,0.4144545755188145
seed1,vector_mamba,layers.s_b_delta,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,vector_mamba,layers.s_b_gate,layers,,12x512,float32,6144,24576,0.012951705484962953
seed1,feedback_bridge,layers.s_b_memory_feedback,layers,,12x1,float32,12,48,2.5296299775318267e-05
seed1,vector_mamba,layers.s_b_ret,layers,,12x512,float32,6144,24576,0.012951705484962953
