category,path,shape,dtype,elements,bytes,percent_of_total
embeddings,embed,256x512,float32,131072,524288,0.002763030503458763
output_head,future_heads.b1,1x1536,float32,1536,6144,3.237926371240738e-05
output_head,future_heads.b2,1x256,float32,256,1024,5.396543952067897e-06
output_head,future_heads.w1,1x1536x512,float32,786432,3145728,0.01657818302075258
output_head,future_heads.w2,1x256x1536,float32,393216,1572864,0.00828909151037629
output_head,head.b1,1536,float32,1536,6144,3.237926371240738e-05
output_head,head.b2,256,float32,256,1024,5.396543952067897e-06
output_head,head.w1,1536x512,float32,786432,3145728,0.01657818302075258
output_head,head.w2,256x1536,float32,393216,1572864,0.00828909151037629
matrix_memory,layers.m_b_archive_mix,12x512,float32,6144,24576,0.00012951705484962953
matrix_memory,layers.m_b_archive_ret,12x1,float32,12,48,2.529629977531827e-07
matrix_memory,layers.m_b_archive_write,12x1,float32,12,48,2.529629977531827e-07
matrix_memory,layers.m_b_eta,12x1,float32,12,48,2.529629977531827e-07
matrix_memory,layers.m_b_out,12x512,float32,6144,24576,0.00012951705484962953
matrix_memory,layers.m_b_read,12x512,float32,6144,24576,0.00012951705484962953
matrix_memory,layers.m_b_ret,12x1,float32,12,48,2.529629977531827e-07
matrix_memory,layers.m_b_write,12x1,float32,12,48,2.529629977531827e-07
other,layers.m_ln_b,12x512,float32,6144,24576,0.00012951705484962953
other,layers.m_ln_g,12x512,float32,6144,24576,0.00012951705484962953
other,layers.m_proj_b,12x512,float32,6144,24576,0.00012951705484962953
other,layers.m_proj_w,12x512x1024,float32,6291456,25165824,0.13262546416602064
matrix_memory,layers.m_w_archive_mix,12x512x512,float32,3145728,12582912,0.06631273208301032
matrix_memory,layers.m_w_archive_ret,12x1x512,float32,6144,24576,0.00012951705484962953
matrix_memory,layers.m_w_archive_write,12x1x512,float32,6144,24576,0.00012951705484962953
other,layers.m_w_eta,12x1x512,float32,6144,24576,0.00012951705484962953
matrix_memory,layers.m_w_out,12x512x512,float32,3145728,12582912,0.06631273208301032
matrix_memory,layers.m_w_read,12x512x512,float32,3145728,12582912,0.06631273208301032
other,layers.m_w_ret,12x1x512,float32,6144,24576,0.00012951705484962953
other,layers.m_w_write,12x1x512,float32,6144,24576,0.00012951705484962953
matrix_memory,layers.m_wk,12x512x512,float32,3145728,12582912,0.06631273208301032
matrix_memory,layers.m_wq,12x512x512,float32,3145728,12582912,0.06631273208301032
matrix_memory,layers.m_wv,12x512x512,float32,3145728,12582912,0.06631273208301032
other,layers.pre_b,12x512,float32,6144,24576,0.00012951705484962953
other,layers.pre_g,12x512,float32,6144,24576,0.00012951705484962953
other,layers.r_b,12x32,float32,384,1536,8.094815928101846e-06
other,layers.r_proj,12x512x32,float32,196608,786432,0.004144545755188145
other,layers.r_proj_b,12x512,float32,6144,24576,0.00012951705484962953
other,layers.r_w,12x32x512,float32,196608,786432,0.004144545755188145
vector_mamba,layers.s_b_delta,12x512,float32,6144,24576,0.00012951705484962953
vector_mamba,layers.s_b_gate,12x512,float32,6144,24576,0.00012951705484962953
vector_mamba,layers.s_b_memory_feedback,12x1,float32,12,48,2.529629977531827e-07
vector_mamba,layers.s_b_ret,12x512,float32,6144,24576,0.00012951705484962953
vector_mamba,layers.s_memory_down,12x32x512,float32,196608,786432,0.004144545755188145
vector_mamba,layers.s_memory_up,12x512x32,float32,196608,786432,0.004144545755188145
vector_mamba,layers.s_proj_b,12x512,float32,6144,24576,0.00012951705484962953
vector_mamba,layers.s_proj_w,12x512x512,float32,3145728,12582912,0.06631273208301032
vector_mamba,layers.s_w_c,12x512x512,float32,3145728,12582912,0.06631273208301032
vector_mamba,layers.s_w_delta,12x512x512,float32,3145728,12582912,0.06631273208301032
vector_mamba,layers.s_w_gate,12x512x512,float32,3145728,12582912,0.06631273208301032
vector_mamba,layers.s_w_memory_feedback,12x1x512,float32,6144,24576,0.00012951705484962953
vector_mamba,layers.s_w_ret,12x512x512,float32,3145728,12582912,0.06631273208301032
vector_mamba,layers.s_wu,12x512x512,float32,3145728,12582912,0.06631273208301032
