seed,path,layer,matrix_shape,matrix_rows,matrix_cols,elements,frobenius_norm,spectral_norm,stable_rank,effective_rank_entropy,rank_90_energy,rank_95_energy,rank_99_energy,rank_995_energy,rank_999_energy,rank_384_relative_error,rank_320_relative_error,rank_256_relative_error,rank_192_relative_error,rank_160_relative_error,rank_128_relative_error,rank_96_relative_error,rank_64_relative_error
seed1,layers.m_wk,0,"[512, 512]",512,512,262144,38.3156753493,14.545162708,6.93930221581,26.7300884448,23,73,243,297,385,0.0316575002085,0.0590837231979,0.0923278880117,0.131410031768,0.153324304887,0.176877319609,0.202554003607,0.231393472203
seed1,layers.m_wk,1,"[512, 512]",512,512,262144,40.6313944182,20.4905490515,3.93202493072,21.1837363686,26,67,223,277,370,0.0267917081518,0.050795238783,0.0813560156586,0.118717707263,0.140461953577,0.164595280043,0.192446318893,0.22723742204
seed1,layers.m_wk,2,"[512, 512]",512,512,262144,40.8771313886,18.6179178614,4.82057231249,27.5235758355,31,75,227,281,372,0.0271565696357,0.0520819571127,0.0834087886009,0.12182823989,0.144414404801,0.170001517962,0.199643450058,0.23779554999
seed1,layers.m_wk,3,"[512, 512]",512,512,262144,42.2508950554,17.1521655832,6.06783700193,35.6648015615,38,79,227,280,372,0.0273311287848,0.0518456076235,0.0830888578866,0.121967511995,0.145026274839,0.171469981273,0.20275636539,0.246029579666
seed1,layers.m_wk,4,"[512, 512]",512,512,262144,42.4169159401,20.4316286009,4.30994974284,29.23284764,36,74,213,266,359,0.0234194737072,0.0460512377939,0.0755331714774,0.113305995661,0.136104760832,0.162529116986,0.194864258831,0.23895337266
seed1,layers.m_wk,5,"[512, 512]",512,512,262144,42.8082137245,16.1462657054,7.02926671723,44.2838704022,45,88,230,282,372,0.0272680942093,0.0523505503346,0.0843702873162,0.125011243861,0.14915138802,0.177289556924,0.212218698681,0.262528302455
seed1,layers.m_wk,6,"[512, 512]",512,512,262144,43.3205805805,11.0302475772,15.4247458123,76.0815085967,72,116,246,294,379,0.0296865938673,0.0570630214609,0.0930004697839,0.140091089419,0.169838388725,0.20650121772,0.256587270457,0.340273004195
seed1,layers.m_wk,7,"[512, 512]",512,512,262144,44.9967400778,15.5319233905,8.39289177112,52.5245282404,50,88,226,278,370,0.0266788443844,0.0510391347946,0.0823288049766,0.122175420113,0.146322284488,0.175013992126,0.211883633834,0.27074999559
seed1,layers.m_wk,8,"[512, 512]",512,512,262144,43.3195106553,15.5342927926,7.77649883275,49.9821765018,52,89,209,259,351,0.0214301476467,0.0428460756765,0.0720379258265,0.111518781252,0.137180621448,0.168920509727,0.210839959058,0.276590032305
seed1,layers.m_wk,9,"[512, 512]",512,512,262144,43.9251955572,13.9365239114,9.93387014935,56.7854277921,55,97,232,283,373,0.0275900102934,0.0527647367392,0.0853051068017,0.126966706603,0.152802362828,0.183845133261,0.223708846192,0.285841121363
seed1,layers.m_wk,10,"[512, 512]",512,512,262144,43.5625095987,14.9556570396,8.48427598825,58.6196583442,59,98,227,278,367,0.0258661505639,0.0501927895224,0.0822867003951,0.123921754211,0.150320845895,0.182717900998,0.226006313986,0.296299188666
seed1,layers.m_wk,11,"[512, 512]",512,512,262144,47.4027700458,10.8438665921,19.1090505836,118.071188047,102,139,248,293,376,0.0283775884845,0.0558568769574,0.0937636846777,0.148361712269,0.188208227985,0.245691221047,0.333337246452,0.47415766934
seed1,layers.m_wq,0,"[512, 512]",512,512,262144,37.5241107065,16.6044854222,5.10704841145,22.9432155783,20,73,245,298,386,0.0321734205008,0.059769004843,0.0931308913659,0.132322910844,0.154099955246,0.177623483958,0.203289811732,0.231654733412
seed1,layers.m_wq,1,"[512, 512]",512,512,262144,39.5405164601,19.7128597817,4.02332772139,20.8195696979,28,82,245,298,386,0.0322689815921,0.0596474426193,0.0933843834037,0.133542447491,0.156281416613,0.181277996771,0.209455807796,0.243419137455
seed1,layers.m_wq,2,"[512, 512]",512,512,262144,40.3319379679,18.2095424195,4.90569016772,25.1393806148,30,82,244,297,385,0.0317524726507,0.0591660863018,0.0928106377167,0.132680987376,0.155529378278,0.180635277646,0.208982489836,0.24370737308
seed1,layers.m_wq,3,"[512, 512]",512,512,262144,41.9344737656,22.1557832163,3.58235136867,26.726953462,34,77,238,292,382,0.0307899190113,0.0570815009637,0.0894127944917,0.127838727211,0.149963707309,0.174557847657,0.203119003887,0.240554969049
seed1,layers.m_wq,4,"[512, 512]",512,512,262144,42.0569913712,18.8675672847,4.96872073248,29.1287313269,35,85,242,295,384,0.0314126345893,0.0585371337049,0.0916946265411,0.13180021564,0.154862442625,0.180664604345,0.210683555918,0.250180964686
seed1,layers.m_wq,5,"[512, 512]",512,512,262144,42.9012511982,19.6359263619,4.77350220256,37.6274732841,42,87,240,294,383,0.0310467475748,0.0577028552351,0.0904513663435,0.130458592848,0.153872752523,0.180329963994,0.212228528535,0.257735042918
seed1,layers.m_wq,6,"[512, 512]",512,512,262144,42.4043472665,14.4779916856,8.57835706174,64.461300459,66,109,247,297,384,0.0314150493608,0.0590167076053,0.093989290123,0.138289456032,0.165533565258,0.198770323495,0.244273882808,0.321272266361
seed1,layers.m_wq,7,"[512, 512]",512,512,262144,44.9229546618,17.5946834217,6.51889088231,46.614702982,48,86,232,286,377,0.029128582183,0.0545752916288,0.0861287555259,0.124993602596,0.148093707978,0.175272360451,0.209518004975,0.26467939271
seed1,layers.m_wq,8,"[512, 512]",512,512,262144,43.5680028786,15.8259914965,7.57867789494,51.4317701403,56,101,243,295,383,0.030909552472,0.0579711076384,0.0916506765017,0.133823784884,0.159378214004,0.189961523303,0.229531139328,0.290635928066
seed1,layers.m_wq,9,"[512, 512]",512,512,262144,43.7911262796,15.1671118037,8.33616791284,54.325209597,53,96,239,292,381,0.0302035839369,0.0567675274591,0.0899013439723,0.130881168335,0.155640605696,0.184945010107,0.22272363177,0.280987614678
seed1,layers.m_wq,10,"[512, 512]",512,512,262144,43.4087806728,16.8587883781,6.62983096231,54.7350180383,59,102,242,293,382,0.0306912194134,0.0575025141082,0.0909969479219,0.133180947511,0.159157546714,0.190438995602,0.23244171416,0.299759735853
seed1,layers.m_wq,11,"[512, 512]",512,512,262144,47.1617056184,8.8057350495,28.684532624,117.362403123,97,135,247,294,380,0.0300895349203,0.0571996760502,0.0933846964686,0.144625747399,0.181546874321,0.23553820372,0.319601676062,0.46003186138
seed1,layers.m_wv,0,"[512, 512]",512,512,262144,42.808778208,8.80925214358,23.6149801199,102.298824889,91,131,267,316,396,0.0363964537937,0.0682370026189,0.107096636704,0.155498664597,0.185405284473,0.227080614459,0.299254158016,0.427291582901
seed1,layers.m_wv,1,"[512, 512]",512,512,262144,43.7435811959,7.48335369155,34.1693034491,169.629846082,176,235,344,378,432,0.0652056183976,0.122669498545,0.195451665604,0.288234603429,0.344184714772,0.40971360984,0.487982117516,0.58587553572
seed1,layers.m_wv,2,"[512, 512]",512,512,262144,44.2733151544,10.6503898906,17.2803713934,153.702172599,172,232,342,376,432,0.064102547606,0.120833158507,0.192462007582,0.282300002378,0.336451724145,0.399731437928,0.475618085035,0.57075506668
seed1,layers.m_wv,3,"[512, 512]",512,512,262144,45.153908574,8.03493696132,31.580990787,188.155521916,189,248,352,384,437,0.0705392577741,0.13270903651,0.211501485234,0.309541962384,0.368230773899,0.436226575777,0.516878136869,0.61583532182
seed1,layers.m_wv,4,"[512, 512]",512,512,262144,44.9869859564,7.54202216206,35.5793644428,192.110889324,196,255,358,389,440,0.075189229879,0.140511608394,0.221752195082,0.322370661554,0.381741447087,0.449171798424,0.527956806087,0.622880001163
seed1,layers.m_wv,5,"[512, 512]",512,512,262144,45.5078339328,7.4269805886,37.5446233242,195.974947201,198,257,360,391,441,0.0763477655893,0.142439573094,0.224839431958,0.32578400261,0.385944667452,0.454186999027,0.533047110178,0.629773650878
seed1,layers.m_wv,6,"[512, 512]",512,512,262144,46.1191858915,7.29089294336,40.0130652458,206.9146264,203,261,362,392,442,0.0779791066008,0.145630872523,0.230505127086,0.335181553588,0.396702333455,0.466945719068,0.548222401655,0.645802883774
seed1,layers.m_wv,7,"[512, 512]",512,512,262144,46.578642194,7.80665880986,35.599446926,187.450080973,188,247,352,384,437,0.0706110548885,0.132905525375,0.21075574446,0.308628314021,0.367384327578,0.434581547749,0.514676302906,0.614977295041
seed1,layers.m_wv,8,"[512, 512]",512,512,262144,46.2233612052,7.66876442347,36.3305733411,223.776797297,215,273,369,398,446,0.0837416890597,0.157133792217,0.248269538935,0.358349748633,0.422430485135,0.494455608389,0.576651864598,0.67325989658
seed1,layers.m_wv,9,"[512, 512]",512,512,262144,45.9302260024,7.65978689402,35.9553723441,211.208201848,207,265,364,394,443,0.0799179106975,0.149723199664,0.236444849268,0.34224398801,0.404750483953,0.475538424208,0.55666154879,0.653835895594
seed1,layers.m_wv,10,"[512, 512]",512,512,262144,45.8776819662,8.89129426908,26.6239791706,195.451985669,200,259,360,391,441,0.0761701067089,0.142615398117,0.226572413184,0.329029409564,0.389731807845,0.458017196104,0.536623187834,0.631384606128
seed1,layers.m_wv,11,"[512, 512]",512,512,262144,46.2071180537,11.5231415211,16.0796271154,200.31336822,206,264,364,394,443,0.0791336337335,0.148398544312,0.234653730358,0.340336402202,0.402277948674,0.47193980774,0.552799941433,0.651342023469
seed1,layers.m_w_read,0,"[512, 512]",512,512,262144,41.6446211267,24.6763896103,2.84809580047,37.8345751776,70,100,209,264,364,0.0250827368568,0.0468775724174,0.0744127784383,0.110213059607,0.134269114174,0.170261370422,0.231774253237,0.336357314244
seed1,layers.m_w_read,1,"[512, 512]",512,512,262144,45.931750445,15.3830027335,8.91546005854,130.996505032,162,222,333,369,427,0.0590315127813,0.111599375732,0.179061737669,0.265770045004,0.319091756312,0.381444982029,0.455801872264,0.55091878002
seed1,layers.m_w_read,2,"[512, 512]",512,512,262144,46.4867859882,14.1099832389,10.8544056023,139.355483092,171,231,341,375,432,0.0636835911878,0.119532119343,0.190545148377,0.280473497567,0.334810097559,0.397869499706,0.473444951504,0.567314917407
seed1,layers.m_w_read,3,"[512, 512]",512,512,262144,48.5964676095,13.4320011268,13.0896479285,161.947339503,183,243,349,382,436,0.0685631934682,0.128698066483,0.205311002176,0.30089543241,0.358064246599,0.423998258741,0.502047806127,0.597549996476
seed1,layers.m_w_read,4,"[512, 512]",512,512,262144,48.3617116702,10.0195584393,23.2973305518,189.95852692,197,256,358,389,440,0.0748437262575,0.140348547667,0.222652498051,0.324582291003,0.385137516279,0.454350891202,0.534477643618,0.630812596319
seed1,layers.m_w_read,5,"[512, 512]",512,512,262144,49.2619374191,11.2779552251,19.079291539,198.409550763,206,264,364,394,442,0.0792801216421,0.14876645025,0.23526660158,0.341387256205,0.403735331664,0.473667967515,0.553743754032,0.648793164324
seed1,layers.m_w_read,6,"[512, 512]",512,512,262144,50.4027599583,12.6637156186,15.8411365616,202.390896825,210,268,367,396,444,0.0818644737705,0.152510045911,0.240420617909,0.34815343494,0.411058897021,0.482131602117,0.563595793529,0.658517320978
seed1,layers.m_w_read,7,"[512, 512]",512,512,262144,51.1636191797,11.5698093919,19.5555532477,196.518033351,205,263,362,393,442,0.0780349966439,0.146443012092,0.232883633234,0.338831757166,0.400966914389,0.471214918991,0.551798418332,0.647372508905
seed1,layers.m_w_read,8,"[512, 512]",512,512,262144,49.868021271,11.8489917211,17.7125659396,203.364548057,211,269,367,397,444,0.0823816020061,0.153688757182,0.242179217915,0.349808943279,0.412359456712,0.481883448817,0.561374600815,0.65513825585
seed1,layers.m_w_read,9,"[512, 512]",512,512,262144,50.6258476433,11.9701872195,17.8872150988,206.717713136,214,271,369,398,445,0.0839399145882,0.155663424262,0.245520731712,0.354731138685,0.418359866191,0.489484033635,0.570455181388,0.665235414838
seed1,layers.m_w_read,10,"[512, 512]",512,512,262144,50.8151879898,11.6121236019,19.1497793104,202.060058113,213,271,368,397,444,0.0830416487671,0.155470142733,0.245217738367,0.354179587647,0.417437147281,0.488289472761,0.568310046323,0.661044962981
