candidate,m_wq_rank,m_wk_rank,hidden_dim,mamba_state_dim,ax_res,estimated_total_params,estimated_budget_error,dense_total_params,factorized_total_params,actual_budget_error,actual_qk_savings,fast_estimate_error
C1_q128_k128,128,128,1664,608,512,47440328,2560,50586056,47440328,2560,3145728,0
C1_q128_k128,128,128,2304,576,512,47440840,3072,50586568,47440840,3072,3145728,0
C3_q128_k64,128,64,1536,640,512,47440840,3072,51373000,47440840,3072,3932160,0
C1_q128_k128,128,128,2944,544,512,47441352,3584,50587080,47441352,3584,3145728,0
C3_q128_k64,128,64,2176,608,512,47441352,3584,51373512,47441352,3584,3932160,0
C1_q128_k128,128,128,3584,512,512,47441864,4096,50587592,47441864,4096,3145728,0
C2_q64_k64,64,64,2048,640,512,47441864,4096,52160456,47441864,4096,4718592,0
C3_q128_k64,128,64,2816,576,512,47441864,4096,51374024,47441864,4096,3932160,0
C2_q64_k64,64,64,2688,608,512,47442376,4608,52160968,47442376,4608,4718592,0
C3_q128_k64,128,64,3456,544,512,47442376,4608,51374536,47442376,4608,3932160,0
C2_q64_k64,64,64,2944,512,608,47432904,-4864,53183688,47432904,-4864,5750784,0
C2_q64_k64,64,64,3328,576,512,47442888,5120,52161480,47442888,5120,4718592,0
C3_q128_k64,128,64,4096,512,512,47442888,5120,51375048,47442888,5120,3932160,0
C2_q64_k64,64,64,2304,544,608,47432392,-5376,53183176,47432392,-5376,5750784,0
C2_q64_k64,64,64,3968,544,512,47443400,5632,52161992,47443400,5632,4718592,0
C2_q64_k64,64,64,1664,576,608,47431880,-5888,53182664,47431880,-5888,5750784,0
C3_q128_k64,128,64,1824,512,640,47444488,6720,52654600,47444488,6720,5210112,0
C3_q128_k64,128,64,3520,512,544,47430984,-6784,51682632,47430984,-6784,4251648,0
C1_q128_k128,128,128,1824,512,608,47430664,-7104,51461128,47430664,-7104,4030464,0
C3_q128_k64,128,64,2880,544,544,47430472,-7296,51682120,47430472,-7296,4251648,0
C2_q64_k64,64,64,1760,544,640,47445128,7360,53539976,47445128,7360,6094848,0
C3_q128_k64,128,64,2240,576,544,47429960,-7808,51681608,47429960,-7808,4251648,0
C2_q64_k64,64,64,2400,512,640,47445640,7872,53540488,47445640,7872,6094848,0
C3_q128_k64,128,64,1600,608,544,47429448,-8320,51681096,47429448,-8320,4251648,0
C1_q128_k128,128,128,1728,576,544,47453512,15744,50894152,47453512,15744,3440640,0
C1_q128_k128,128,128,2368,544,544,47454024,16256,50894664,47454024,16256,3440640,0
C1_q128_k128,128,128,3008,512,544,47454536,16768,50895176,47454536,16768,3440640,0
C2_q64_k64,64,64,2144,608,544,47455112,17344,52517768,47455112,17344,5062656,0
C2_q64_k64,64,64,3488,512,576,47420168,-17600,52826888,47420168,-17600,5406720,0
C2_q64_k64,64,64,2784,576,544,47455624,17856,52518280,47455624,17856,5062656,0
C2_q64_k64,64,64,2848,544,576,47419656,-18112,52826376,47419656,-18112,5406720,0
C3_q128_k64,128,64,1760,544,608,47455880,18112,52346504,47455880,18112,4890624,0
C2_q64_k64,64,64,3424,544,544,47456136,18368,52518792,47456136,18368,5062656,0
C2_q64_k64,64,64,2208,576,576,47419144,-18624,52825864,47419144,-18624,5406720,0
C3_q128_k64,128,64,2400,512,608,47456392,18624,52347016,47456392,18624,4890624,0
C3_q128_k64,128,64,2944,512,576,47419080,-18688,51990216,47419080,-18688,4571136,0
C2_q64_k64,64,64,4064,512,544,47456648,18880,52519304,47456648,18880,5062656,0
C2_q64_k64,64,64,1568,608,576,47418632,-19136,52825352,47418632,-19136,5406720,0
C3_q128_k64,128,64,2304,544,576,47418568,-19200,51989704,47418568,-19200,4571136,0
C3_q128_k64,128,64,1664,576,576,47418056,-19712,51989192,47418056,-19712,4571136,0
